光學字符識別	OCR
凝聚力	cohesion
畫面	tableau
音樂視頻	MV
奧立克	Orlick
湯匙	tablespoon
熟悉的	acquainted
盤繞的	coiled
奧綸	orlon
尾標	Tailscale
熟悉	acquainting
盤繞	coiling
奧利	Orly
點點	TapTap
熟悉	acquaints
線圈	coils
對象關係映射	ORM
王牌	TCL
硬幣	coin
默許	acquiesce
分形	fractal
索引器	indexer
傳輸控制協議	TCP
對象關係映射	Object Relational Mapping
造幣	coinage
默許	acquiesced
幣安	coinbase
時序引擎	TDengine
鍍金銅	ormolu
默許	acquiescence
團隊城	TeamCity
幣安錢包	Coinbase Wallet
裝飾	ornament
順從的	acquiescent
團隊空間	Teamspace
幣查	CoinCheckup
裝飾的	ornamental
默許	acquiesces
一致	coincide
裝飾地	ornamentally
遠程控制	TeamViewer
默許	acquiescing
一致	coincided
可獲得的	acquirable
裝飾	ornamentation
遙測	telemetry
在線證書狀態協議	OCSP
有凝聚力的	cohesive
生日	BD
畫面	tableaus
巧合	coincidence
目的論	teleological
獲得	acquire
裝飾的	ornamented
巧合	coincidences
目的論地	teleologically
獲得的	acquired
裝飾	ornamenting
冷聚變	ColdFusion
目的論	teleology
獲得	acquires
裝飾	ornaments
華麗的	ornate
心靈感應	telepathic
舒適界面	ComfyUI
獲得	acquiring
收購	acquisition
電腦服務	Compuserve
脾氣壞的	ornery
通靈者	telepathist
C語言Python	CPython
心靈感應	telepathy
收購	acquisitions
鳥類的	ornithological
電話	telephone
程序員社區	CSDN
貪婪的	acquisitive
鳥類學家	ornithologist
已通話	telephoned
貪婪	acquisitiveness
逗號分隔值	csv
鳥類學	ornithology
打電話者	telephoner
無罪釋放	acquit
統一計算架構	CUDA
造山運動	orogeny
命令行工具	cURL
奧羅諾	Orono
打電話者	telephoners
無罪釋放	acquits
凝聚地	cohesively
聲學家	acoustician
桌布	tablecloth
歐珀	OPPO
無罪釋放	acquittal
模擬環境	cygwin
洪亮的	orotund
電話	telephones
凝聚力	cohesiveness
聲學	acoustics
桌布	tablecloths
黃鸝	orioles
擱置	tabled
獵戶座	Orion
科恩	Cohn
能動商務協議	Agentic Commerce Protocol
臺地	tableland
熟悉	acquaint
祈禱	orison
隊列	cohort
髮髻	coif
奧克尼	Orkney
熟人	acquaintance
目錄	Table of Contents
奧蘭多	Orlando
熟人	acquaintances
表加	TablePlus
隅石	coign
奧爾良	Orleans
相識	acquaintanceship
線圈	coil
表格	tables
AMD顯卡	AMDgpu
ARM架構	Advanced RISC Machine
AV圖像格式	AVImage File Format
Arch用戶倉庫	Arch User Repository
A站	AcFun
BNB鏈	BNB Chain
Backbone.js	Backbone.js
C#	C#
C++	C++
CUDA工具包	CUDA Toolkit
Chromium嵌入式框架	Chromium Embedded Framework
Clojure語言	Clojure
C加加	C++
C星	cstar
DEC工作站	DECstation
DEC磁帶	DECtape
DEC系統	DECsystem
DEC網絡	DECnet
DNS服務器	dnsmasq
ERC-	ERC-
Ember.js	Ember.js
F-Droid	F-Droid
GNU通用公共許可證	GNU General Public License
GPL許可證	GNU General Public License
GPS路由	GPSR
Gif製作器	Gif Brewery
GitHub副駕駛	GitHub Copilot
GitHub副駕駛X	GitHub Copilot X
GitHub副駕駛命令行	GitHub Copilot CLI
GitHub副駕駛聊天	GitHub Copilot chat
GitHub操作	GitHub Actions
GitHub頁面	GitHub Pages
GitHub風格標記	GitHub Flavored Markdown
GoLand軟件	GoLand
Gogs軟件	Gogs
Go框架	GoFrame
Go語言	golang
HTTPS/上的DNS	DNS over HTTPS/
HTTPS上的DNS	DNS over HTTPS
IC卡	IC Card
IDEA社區	IDEA Community
IDEA終極版	IDEA Ultimate
IE瀏覽器	Internet Explorer
IP協議	internet protocol
IP安全協議	IPSec
IP版本	IPv
IdeaVim插件	IdeaVim
JSON網絡密鑰集	JWKS
Java企業版	Java EE
Java開發工具包	JDK\tJava Development Kit
Java數據庫連接	JDBC
Java虛擬機	JVM\tJava Virtual Machine
Java運行環境	Java Runtime Environment
K介子	kaon
LM工作室	LM Studio
Linux子系統	WSL\tWindows Subsystem for Linux
Lisp間	interlisp
MIT許可證	MIT License
MS-DOS	MS-DOS
MX播放器	MX Player
MacDraw繪圖軟件	MacDraw
Macromedia公司	macromedia
Mac世界	macworld
Mac傳聞	Mac Rumors
Mac字體工具	MacType
Mac小貼士	MacTips
Mac應用商店	Mac App Store
Mac文本編輯器	MacVim
Mac更新桌面	MacUpdate Desktop
Mac標識	MacID
Maven守護進程	mvnd
MyBatis增強	MyBatis-Plus
M團隊	M-Team
NEAR協議	NEAR Protocol
Neovim編輯器	nvim
Next.js	Next.js
Node.js	node.js
Node包管理器	Node Package Manager
Nuxt框架	Nuxt
Objective-C	Objective-C
PDF專家	PDF Expert
PDF文件	PDFs
PL/pgSQL	PL/pgSQL
PyTorch框架	PyTorch
PyWebIO庫	PyWebIO
QUIC上的DNS	DNS over QUIC
Q編輯	qedit
RDF站點摘要	RDF Site Summary
RFC	RFC
SIMULA語言	SIMULA
SPARC工作站	SPARCstation
SQLite數據庫	SQLite
SQL數據庫	SQL
SQL服務器	SQL Server
Simula語言	Simula
S形	sigmoid
TCP/IP	TCP/IP
Three.js	Three.js
ULTRIX系統	ULTRIX
UNIX	UNIX
Ultrix系統	Ultrix
Unix外殼	unix shell
Unix用戶協會	Usenix
U形鉤	clevis
VAX計算機	VAX
VEX論壇	VEX
VLC播放器	VLC
VLESS協議	VLESS
VRayA客戶端	vrayA
VRayN客戶端	vrayN
VRay代理	VRay
VRay核心	vray-core
Vite+	Vite+
V引擎	vengine\tVJS engine
