#兼容所有拼音類型的公共簡碼庫	
gj	感覺	根據	關鍵
jd	簡單	覺得	絕對
ky	可以	開業	科研
my	沒有	美元	免疫
zj	自己	最近	資金
ad	啊對	阿杜	捱打
aj	安靜	按鍵	案件
ap	安排	愛普	阿婆
aq	安全	愛情	按期
at	艾特	奧體	凹凸
av	按照	安裝	澳洲
ay	哎呀	哎呦	阿姨
bb	並不	不必	寶貝
bd	不但	報道	不到
bp	不怕	被迫	奔跑
bq	並且	表情	版權
br	不如	別人	比如
bu	不是	表示	不少
bt	不同	拜託	不太
bv	幫助	不止	標準
bw	並未	本文	把握
cd	菜單	承擔	程度
cm	聰明	層面	村民
cn	才能	處女	承諾
cq	從前	此前	採取
ct	從頭	辭退	傳統
cw	錯誤	從未	財務
cx	纔行	操心	程序
cy	參與	採用	產業
cz	存在	操作	創造
dd	得到	到底	等待
df	地方	對方	對付
dn	電腦	都能	當年
dt	動態	地鐵	代替
eb	而不	耳邊	二本
ec	二次	恩賜
ed	額度	耳朵	而當
ef	二分	而非	耳房
eh	而後	誒嘿	惡化
ek	而況	兒科	耳科
el	而來	二樓	惡劣
ep	惡評	耳屏
eq	而且	二期	恩情
es	二三	耳塞	餓死
et	兒童	額頭	二套
eu	而是	二手	恩師
ev	而這	二戰	二者
ew	額外	而我	俄烏
ex	噁心	兒媳	兒戲
ey	而已	而言	鱷魚
ez	兒子	恩澤	二組
fc	諷刺	風采	發財
fd	反對	非但	輔導
fe	反而	份額	飛蛾
fi	非常	分成	發出
fk	瘋狂	分開	飛快
fl	分離	服了	分類
fm	方面	發明	繁忙
fn	煩惱	肥牛	憤怒
fp	分配	發票	肥胖
fq	放棄	夫妻	風情
fr	否認	煩人	凡人
fs	發送	放鬆	反思
ft	發帖	法庭	繁體
fv	反正	分鐘	反之
fw	範圍	氛圍	服務
fx	發現	分析	分享
fy	反應	翻譯	反映
gc	剛纔	光彩	工廠
gi	過程	觀察	給出
gm	幹嘛	購買	感冒
gn	功能	觀念	過年
gq	過去	歌曲	過期
gt	共同	溝通	高鐵
gx	關係	更新	共享
hc	何曾	緩存	很慘
hi	合成	何嘗	好喫
hm	還沒	後面	好嗎
hn	還能	很難	湖南
hq	好奇	回去	獲取
ht	話題	後天	合同
hx	好像	好想	還行
ic	尺寸	純粹	出錯
im	沉默	重碼	充滿
in	常年	承諾	車內
iq	重啓	出去	重慶
it	衝突	傳統	春天
iw	成爲	稱爲	寵物
ix	出現	程序	撤銷
iz	創作	創造	車子
ja	驕傲	煎熬	教案
jb	基本	句柄	腳本
je	就是	進而	金額
jf	積分	減肥	繳費
jg	結果	結構	價格
jh	幾乎	計劃	機會
jj	解決	漸漸	拒絕
jk	儘快	接口	均可
jl	經歷	進來	決裂
jv	簡直	矩陣	糾正
jz	就在	講座	節奏
ki	看成	課程	咔嚓
km	科目	昆明	快慢
kn	可能	困難	苦惱
kq	況且	開啓	口腔
kt	開頭	開通	空調
kx	開心	科學	可惜
lf	浪費	兩份	涼粉
md	目的	賣點	罵道
